(0.0000, 10.0000)|(0.1500, 0.1500)#9999#0
(25.8746, 48.2852)|(2.6618, 1.9293)#10299#0
(28.5415, 46.7810)|(2.9721, 1.3791)#10299#0
(31.4593, 45.8529)|(3.1635, 0.7772)#10299#0
(34.5051, 45.5006)|(3.2281, 0.2298)#10299#0
(37.5507, 45.8552)|(3.1631, 0.7795)#10299#0
(40.4678, 46.7856)|(2.9711, 1.3813)#10299#0
(-40.8044, 39.8912)|(2.0946, 3.5103)#10295#1
(-39.3236, 43.4448)|(1.1671, 3.8968)#10295#1
(-40.6213, 29.7839)|(2.0946, 3.5103)#10294#1
(-39.1404, 33.3374)|(1.1671, 3.8968)#10294#1
(-33.2005, 31.8155)|(2.9103, 1.5189)#10293#1
(-30.3295, 30.7431)|(3.1317, 0.9260)#10293#1
(-27.3000, 30.2689)|(3.2274, 0.3223)#10293#1
(-24.2397, 30.4454)|(3.1932, 0.6315)#10293#1
(-10.7514, 29.4595)|(2.3916, 2.2638)#10292#1
(-13.1853, 31.3220)|(2.7762, 1.7612)#10292#1
(-15.9484, 32.6479)|(3.0500, 1.1906)#10292#1
(-18.9242, 33.3812)|(3.2015, 0.5761)#10292#1
(-2.4934, 28.7813)|(4.7384, 0.6098)#10291#1
(116.2177, 54.6556)|(1.1128, 4.8317)#10290#0
(116.0088, 49.9413)|(0.7225, 4.8969)#10290#0
(117.3069, 45.4028)|(2.1736, 4.4801)#10290#0
(119.9602, 41.5009)|(3.4330, 3.6237)#10290#0
(123.7063, 38.6318)|(4.3591, 2.4146)#10290#0
(128.1647, 37.0867)|(4.8578, 0.9756)#10290#0
(132.8829, 37.0218)|(4.8785, 0.8487)#10290#0
(137.3817, 38.4458)|(4.4191, 2.2993)#10290#0
(130.5255, 40.0511)|(3.6749, 4.8222)#10289#0
(134.8102, 36.2312)|(5.1946, 3.1176)#10289#0
(140.2306, 34.3295)|(5.9462, 0.9859)#10289#0
(145.9615, 34.6705)|(5.8154, 1.6186)#10289#0
(151.1302, 37.1673)|(4.8222, 3.6749)#10289#0
(154.9501, 41.4520)|(3.1176, 5.1946)#10289#0
(156.8519, 46.8724)|(0.9858, 5.9462)#10289#0
(156.5109, 52.6032)|(1.6186, 5.8154)#10289#0
(-5.9002, 161.1598)|(1.5680, 3.4125)#10288#1
(-6.7129, 157.7501)|(0.3573, 3.7068)#10288#1
(-6.0187, 154.3168)|(1.4543, 3.4597)#10288#1
(-4.1308, 151.3827)|(2.6215, 2.7086)#10288#1
(-1.2637, 149.3944)|(3.4125, 1.5680)#10288#1
(2.1460, 148.5817)|(3.7069, 0.3573)#10288#1
(5.5793, 149.2759)|(3.4597, 1.4543)#10288#1
(8.5134, 151.1638)|(2.7086, 2.6216)#10288#1
(6.2322, 154.0802)|(2.6813, 2.6495)#10287#1
(8.1889, 156.9689)|(1.5322, 3.4279)#10287#1
(8.9733, 160.3865)|(0.3366, 3.7073)#10287#1
(8.2323, 163.8128)|(1.4905, 3.4452)#10287#1
(6.3123, 166.7260)|(2.6495, 2.6813)#10287#1
(3.4237, 168.6828)|(3.4279, 1.5322)#10287#1
(0.0060, 169.4672)|(3.7073, 0.3366)#10287#1
(-3.4202, 168.7262)|(3.4452, 1.4905)#10287#1
(-2.5286, 151.8855)|(3.1664, 2.0358)#10286#1
(0.7339, 150.6466)|(3.6585, 0.7421)#10286#1
(4.2213, 150.7545)|(3.6164, 0.9495)#10286#1
(7.4028, 152.1869)|(3.0466, 2.2152)#10286#1
(9.7939, 154.7277)|(2.0358, 3.1664)#10286#1
(11.0328, 157.9901)|(0.7421, 3.6585)#10286#1
(10.9249, 161.4776)|(0.9495, 3.6164)#10286#1
(9.4926, 164.6590)|(2.2152, 3.0466)#10286#1
(-16.7915, 162.8305)|(2.4830, 5.5176)#10285#1
(-18.1285, 157.2208)|(0.4911, 6.0018)#10285#1
(-16.9863, 151.5723)|(2.2958, 5.5951)#10285#1
(-13.8803, 146.7450)|(4.2163, 4.3595)#10285#1
(-9.1633, 143.4737)|(5.5176, 2.4830)#10285#1
(-3.5536, 142.1367)|(6.0018, 0.4911)#10285#1
(2.0949, 143.2789)|(5.5951, 2.2958)#10285#1
(6.9222, 146.3849)|(4.3595, 4.2162)#10285#1
(5.4202, 177.3286)|(9.9989, 4.9618)#10170#0
(-0.6601, 171.2483)|(4.9618, 9.9989)#10170#0
(-0.6601, 162.6494)|(4.9618, 9.9989)#10170#0
(5.4202, 156.5691)|(9.9989, 4.9618)#10170#0
(14.0191, 156.5691)|(9.9989, 4.9618)#10170#0
(20.0995, 162.6494)|(4.9618, 9.9989)#10170#0
(20.0995, 171.2483)|(4.9618, 9.9989)#10170#0
(14.0191, 177.3287)|(9.9989, 4.9618)#10170#0
(6.9353, 172.8466)|(7.2243, 4.2048)#10169#0
(3.2105, 168.2929)|(3.0253, 7.7024)#10169#0
(4.5999, 162.6147)|(5.4305, 6.4541)#10169#0
(9.8474, 159.7188)|(7.8645, 2.1377)#10169#0
(15.0949, 162.6147)|(5.4305, 6.4541)#10169#0
(16.4843, 168.2930)|(3.0253, 7.7024)#10169#0
(12.7596, 172.8466)|(7.2243, 4.2048)#10169#0
(123.6903, 69.6858)|(3.1766, 0.3036)#10284#0
(120.7458, 69.1162)|(3.0124, 1.1357)#10284#0
(118.1012, 67.7184)|(2.5767, 1.9600)#10284#0
(116.0075, 65.5820)|(1.9107, 2.6127)#10284#0
(114.6632, 62.9098)|(1.0778, 3.0317)#10284#0
(114.1390, 59.9553)|(0.2707, 3.1774)#10284#0
(139.2427, 62.1765)|(0.4114, 3.1685)#10283#0
(138.5425, 65.0882)|(1.2891, 2.9549)#10283#0
(137.0036, 67.6532)|(2.0887, 2.4752)#10283#0
(134.7571, 69.6283)|(2.7043, 1.7749)#10283#0
(132.0161, 70.8260)|(3.0777, 0.9205)#10283#0
(129.0406, 71.1587)|(3.1733, 0.3588)#10283#0
(152.3750, 70.7543)|(3.1198, 0.7377)#10282#0
(149.3862, 70.8803)|(3.1578, 0.5021)#10282#0
(146.5021, 70.0828)|(2.9104, 1.3929)#10282#0
(143.9963, 68.4492)|(2.4012, 2.1741)#10282#0
(142.1064, 66.1306)|(1.6785, 2.7632)#10282#0
(141.0118, 63.3468)|(0.8107, 3.1044)#10282#0
(22.0848, 164.0403)|(4.9053, 3.6049)#10163#1
(20.4930, 159.5178)|(2.2111, 5.7402)#10163#1
(24.4625, 156.2452)|(6.0279, 1.1049)#10163#1
(28.4319, 159.5178)|(2.2111, 5.7402)#10163#1
(26.8401, 164.0403)|(4.9053, 3.6049)#10163#1
(22.0911, 177.5636)|(4.9053, 3.6049)#10162#1
(20.4993, 173.0411)|(2.2111, 5.7402)#10162#1
(24.4687, 169.7685)|(6.0279, 1.1049)#10162#1
(28.4382, 173.0411)|(2.2111, 5.7402)#10162#1
(26.8464, 177.5636)|(4.9053, 3.6049)#10162#1
(11.9808, 177.6431)|(4.9053, 3.6049)#10161#1
(10.3889, 173.1205)|(2.2111, 5.7402)#10161#1
(14.3584, 169.8480)|(6.0279, 1.1049)#10161#1
(18.3279, 173.1205)|(2.2111, 5.7402)#10161#1
(16.7360, 177.6431)|(4.9053, 3.6049)#10161#1
(7.5210, 199.4724)|(1.6034, 3.1013)#10281#0
(6.4068, 196.3981)|(0.9250, 3.3472)#10281#0
(5.9579, 193.1548)|(0.2726, 3.4393)#10281#0
(6.2894, 189.8987)|(0.8091, 3.3731)#10281#0
(7.2918, 186.7862)|(1.4958, 3.1519)#10281#0
(8.9487, 183.9670)|(2.1179, 2.7863)#10281#0
(8.2421, 218.0269)|(1.6034, 3.1013)#10280#0
(7.1278, 214.9526)|(0.9250, 3.3472)#10280#0
(6.6790, 211.7094)|(0.2726, 3.4393)#10280#0
(7.0105, 208.4532)|(0.8091, 3.3731)#10280#0
(8.0129, 205.3407)|(1.4958, 3.1519)#10280#0
(9.6698, 202.5216)|(2.1179, 2.7863)#10280#0
(6.3780, 342.3116)|(2.5288, 4.9077)#10157#0
(8.7569, 342.3116)|(2.5288, 4.9077)#10157#0
(5.8932, 353.5508)|(3.8879, 5.7569)#10156#0
(7.7621, 349.8129)|(6.6242, 2.0190)#10156#0
(9.6311, 353.5508)|(3.8879, 5.7569)#10156#0
(6.5216, 362.7509)|(2.5288, 4.9077)#10155#0
(8.9004, 362.7509)|(2.5288, 4.9077)#10155#0
